"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
SCYL1,-3.87891361672026,-0.132199240245279,FALSE,0.0660299003322259,SCYL1,0.89262599469496,0.0728355474118186,0.0660299003322259
CLK3,-3.879037613785,-0.159554067001151,FALSE,0.0568936877076412,CLK3,0.90085841458245,0.0682270916334661,0.0568936877076412
CARS1,-3.87947484928983,-0.0571608230629668,FALSE,0.0789036544850498,CARS1,0.87953663850364,0.0773300773300773,0.0789036544850498
CYBC1,-3.88011950294413,-0.431138102209982,FALSE,0.0456810631229236,CYBC1,0.91163553627176,0.0617977528089888,0.0456810631229236
PTK2B,-3.88094220409964,-0.116824568753016,FALSE,0.076827242524917,PTK2B,0.881959201019975,0.0768591607810553,0.076827242524917
SHKBP1,-3.88222403210087,-0.58441404172593,FALSE,0.0369601328903654,SHKBP1,0.919767441860465,0.0553827006845053,0.0369601328903654
SLX9,-3.88335833505745,-0.280130931439073,FALSE,0.0544019933554817,SLX9,0.903538510435427,0.0671106557377049,0.0544019933554817
SLC25A26,-3.88433950761252,-0.561183576363693,FALSE,0.0315614617940199,SLC25A26,0.924417683409919,0.0504313205043132,0.0315614617940199
OXNAD1,-3.8854354982609,-1.5081549210337,FALSE,0.0228405315614618,OXNAD1,0.932837395800359,0.0414156626506024,0.0228405315614618
CALU,-3.88627725533594,0.0615361711710483,FALSE,0.11046511627907,CALU,0.848690177666329,0.0857511283043198,0.11046511627907
GULP1,-3.88652704509128,-0.552635928583462,FALSE,0.0269933554817276,GULP1,0.92847339527027,0.045774647887324,0.0269933554817276
NFATC2IP,-3.88666552258689,-0.307557836025946,FALSE,0.0448504983388704,NFATC2IP,0.911962330035448,0.0609480812641084,0.0448504983388704
MRPL49,-3.88698088955115,-0.0798459396942821,FALSE,0.0635382059800665,MRPL49,0.894569367840475,0.0714619336758524,0.0635382059800665
DFFA,-3.88760322876617,-0.0936755112811287,FALSE,0.0598006644518272,DFFA,0.897906175457196,0.0695652173913044,0.0598006644518272
YAP1,-3.88840920390376,0.151374193086506,FALSE,0.127076411960133,YAP1,0.830455007218093,0.088006902502157,0.127076411960133
UCHL5,-3.89306077894273,-0.331364267465719,FALSE,0.0514950166112957,UCHL5,0.905957108816521,0.0652631578947368,0.0514950166112957
KAT5,-3.89493331802592,-0.160011114655608,FALSE,0.0564784053156146,KAT5,0.901075610660732,0.0678981527708437,0.0564784053156146
GALNT11,-3.89657831609196,-0.373910383112299,FALSE,0.0427740863787375,GALNT11,0.913836877181847,0.0594688221709007,0.0427740863787375
SMURF2,-3.8985569569882,-0.522855659682247,FALSE,0.0411129568106312,SMURF2,0.915600211528292,0.0584070796460177,0.0411129568106312
POLDIP3,-3.89961921007966,-0.206604712610237,FALSE,0.0510797342192691,POLDIP3,0.90575029122101,0.0646347871781398,0.0510797342192691
CCDC167,-3.90061807201612,-0.255029077759079,FALSE,0.0651993355481728,CCDC167,0.893220878421388,0.0723502304147466,0.0651993355481728
MIA2,-3.90268085004013,0.0052192191838687,FALSE,0.0934385382059801,MIA2,0.865683560477002,0.0818777292576419,0.0934385382059801
ALG2,-3.90632588526365,-0.121269973543299,FALSE,0.0759966777408638,ALG2,0.882821629661107,0.0766010883214734,0.0759966777408638
UNC93B1,-3.9066550553758,-0.464122433841182,FALSE,0.0382059800664452,UNC93B1,0.918274567849025,0.0561660561660562,0.0382059800664452
MTAP,-3.90671867733801,-0.203898632397742,FALSE,0.0539867109634552,MTAP,0.902907993008104,0.0662251655629139,0.0539867109634552
TCF12,-3.90770626402887,-0.168296468791592,FALSE,0.0660299003322259,TCF12,0.892201591511936,0.0725696029210406,0.0660299003322259
RNF8,-3.90786350187178,-0.368592986078509,FALSE,0.0448504983388704,RNF8,0.912015237289032,0.0609824957651045,0.0448504983388704
HMGN2,-3.90997645048373,-0.0530562150489919,FALSE,0.507890365448505,HMGN2,0.401270662318678,0.103015498652291,0.507890365448505
MBOAT7,-3.91128853377907,0.0678502104512324,FALSE,0.082641196013289,MBOAT7,0.87511961722488,0.0781004709576138,0.082641196013289
PKIG,-3.91253094569571,-0.331273234766158,FALSE,0.0460963455149502,PKIG,0.910466716054609,0.0615640599001664,0.0460963455149502
OGFR,-3.91314728995745,-0.263220827854886,FALSE,0.0436046511627907,OGFR,0.912822683030047,0.0598973188819167,0.0436046511627907
SUN1,-3.91385752122289,-0.000384294659853346,FALSE,0.0730897009966778,SUN1,0.885042213136516,0.0751815463477147,0.0730897009966778
ALYREF,-3.91537634717513,-0.151659239825173,FALSE,0.0722591362126246,ALYREF,0.886063180249536,0.075,0.0722591362126246
VCL,-3.91543226231728,-0.354516119145283,FALSE,0.0456810631229236,VCL,0.911106407746442,0.0614525139664804,0.0456810631229236
SIL1,-3.91738383977925,0.0662191399558667,FALSE,0.164036544850498,SIL1,0.794402062963361,0.0935575556608243,0.164036544850498
PTPN4,-3.91795534837477,-0.896966251253645,FALSE,0.0282392026578073,PTPN4,0.927194973866216,0.0469937802349689,0.0282392026578073
