"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
DNAL4,-3.17703561214992,-0.492897402839958,FALSE,0.0253929866989117,DNAL4,0.912137852679417,0.0432989690721649,0.0253929866989117
HRAS,-3.17824707846148,0.357957187231593,FALSE,0.145102781136638,HRAS,0.791200308761096,0.0998336106489185,0.145102781136638
MOGS,-3.18095669544729,0.260012626421203,FALSE,0.0278113663845224,MOGS,0.909641977647282,0.046,0.0278113663845224
GAREM1,-3.18374207097377,-2.42445245864644,FALSE,0.0060459492140266,GAREM1,0.929960354917878,0.0132978723404255,0.0060459492140266
EGR1,-3.18433559086379,-0.0819140100885554,FALSE,0.515114873035067,EGR1,0.413863822805578,0.129719853836784,0.515114873035067
ADAM17,-3.18546552367105,0.0774605444906316,FALSE,0.0362756952841596,ADAM17,0.901555386949924,0.0546448087431694,0.0362756952841596
DMXL1,-3.18557273116336,-1.1746339566449,FALSE,0.0108827085852479,DMXL1,0.925373134328358,0.0222772277227723,0.0108827085852479
KITLG,-3.18628175732612,0.0940370206677521,FALSE,0.0362756952841596,KITLG,0.901555386949924,0.0546448087431694,0.0362756952841596
CRKL,-3.18775919257555,-0.0811046698829019,FALSE,0.0229746070133011,CRKL,0.914063978799924,0.040169133192389,0.0229746070133011
C16orf87,-3.18782402825022,-0.292932759579458,FALSE,0.0278113663845224,C16orf87,0.909641977647282,0.046,0.0278113663845224
OSGEP,-3.19023882766641,0.39004117701791,FALSE,0.0761789600967352,OSGEP,0.861423935865623,0.0798479087452472,0.0761789600967352
KLHL8,-3.19177149402141,-0.885350622802623,FALSE,0.0157194679564692,KLHL8,0.920778975231613,0.0300925925925926,0.0157194679564692
MTG1,-3.19181491876845,0.484534158823368,FALSE,0.118500604594921,MTG1,0.816679477325135,0.0931558935361217,0.118500604594921
HSCB,-3.19366370538123,-0.146890394889504,FALSE,0.0423216444981862,HSCB,0.895955952154927,0.0600343053173242,0.0423216444981862
CLIC4,-3.19485096607491,-2.09935382730063,FALSE,0.00967351874244256,CLIC4,0.92652058934643,0.0201511335012594,0.00967351874244256
FAM98B,-3.19489572780331,0.0783135860928326,FALSE,0.0326481257557437,FAM98B,0.904834123222749,0.0510396975425331,0.0326481257557437
ACOT9,-3.19500629943143,-0.107449393099605,FALSE,0.0253929866989117,ACOT9,0.911569778451051,0.0430327868852459,0.0253929866989117
RTL8C,-3.1960430425646,-0.961655914723977,FALSE,0.0145102781136638,RTL8C,0.921928166351607,0.0282352941176471,0.0145102781136638
TBL2,-3.1971705229103,-0.0638983140847076,FALSE,0.0217654171704958,TBL2,0.914837244511734,0.0384615384615385,0.0217654171704958
SPTY2D1,-3.19735415266331,0.144985122631783,FALSE,0.0834340991535671,SPTY2D1,0.855341104528951,0.0835351089588378,0.0834340991535671
KIFBP,-3.19817929730041,-0.701220551162082,FALSE,0.0145102781136638,KIFBP,0.921928166351607,0.0282352941176471,0.0145102781136638
DDX24,-3.19902993952385,0.186374045607879,FALSE,0.24546553808948,DDX24,0.679937242596588,0.110626702997275,0.24546553808948
TMEM144,-3.19953038970225,-0.465128384626533,FALSE,0.026602176541717,TMEM144,0.910606060606061,0.0445344129554656,0.026602176541717
ZNF331,-3.20012759482515,-3.23317883076856,FALSE,0.00846432889963724,ZNF331,0.927856468366383,0.0179948586118252,0.00846432889963724
DKC1,-3.20037880849487,0.235342470113618,FALSE,0.0918984280532043,DKC1,0.845771144278607,0.0861678004535147,0.0918984280532043
POLR3E,-3.20155959598301,-0.453311650630387,FALSE,0.026602176541717,POLR3E,0.910795454545454,0.0446247464503043,0.026602176541717
SOAT1,-3.20380801522677,-1.06961610608903,FALSE,0.0145102781136638,SOAT1,0.921739130434783,0.028169014084507,0.0145102781136638
SNRPA,-3.20565590627069,0.475560218819317,FALSE,0.157194679564692,SNRPA,0.774361948955917,0.100231303006939,0.157194679564692
ERF,-3.20646609075338,-0.39638338392908,FALSE,0.0374848851269649,ERF,0.900208689053311,0.0556552962298025,0.0374848851269649
MFSD9,-3.20705966988588,-1.46893933415173,FALSE,0.0108827085852479,MFSD9,0.924995276780654,0.0221674876847291,0.0108827085852479
DHX36,-3.20754759367991,0.295643428823921,FALSE,0.157194679564692,DHX36,0.777648878576953,0.1015625,0.157194679564692
TCEA3,-3.2094514908638,0.0410294778613203,FALSE,0.330108827085853,TCEA3,0.585404653012527,0.115776081424936,0.330108827085853
SLC35E1,-3.21362691315718,0.0456218302316334,FALSE,0.0229746070133011,SLC35E1,0.913496119628999,0.0399159663865546,0.0229746070133011
ZDHHC5,-3.21381531717808,0.0740633109987829,FALSE,0.0483675937122128,ZDHHC5,0.889775750665146,0.0645161290322581,0.0483675937122128
RBBP5,-3.21447081241946,0.0813692578658749,FALSE,0.0290205562273277,RBBP5,0.907730200833649,0.0469667318982387,0.0290205562273277
ZNF791,-3.21475191235928,-0.0333977417600906,FALSE,0.0507859733978235,ZNF791,0.887642585551331,0.0663507109004739,0.0507859733978235
PMAIP1,-3.21557706852087,0.238717279230954,FALSE,0.315598548972189,PMAIP1,0.596310255901607,0.113675958188153,0.315598548972189
SMAD3,-3.21634334256097,-1.03262616168003,FALSE,0.0205562273276904,SMAD3,0.916177861873226,0.0369565217391304,0.0205562273276904
SLC35E2B,-3.21691889437634,-0.97480080071266,FALSE,0.0181378476420798,SLC35E2B,0.91829014564025,0.0335570469798658,0.0181378476420798
INF2,-3.22094749220778,0.361467489510579,FALSE,0.256348246674728,INF2,0.659332023575638,0.108941418293936,0.256348246674728
TSPAN12,-3.22107425326797,-0.455911595429424,FALSE,0.0181378476420798,TSPAN12,0.918101002458861,0.0334821428571429,0.0181378476420798
IPO5,-3.22408109101509,0.417007914559556,FALSE,0.0689238210399033,IPO5,0.868255481410868,0.0762032085561497,0.0689238210399033
SIAH2,-3.22488720388694,0.495917563894103,FALSE,0.102781136638452,SIAH2,0.833620854897451,0.0891920251836307,0.102781136638452
CILK1,-3.2252264525559,-0.370487598481306,FALSE,0.0253929866989117,CILK1,0.911001704222685,0.0427698574338086,0.0253929866989117
STAG1,-3.2254654561775,0.247976456402269,FALSE,0.0761789600967352,STAG1,0.862378316472609,0.0803571428571429,0.0761789600967352
SLC2A13,-3.2289264733729,0.0241071210948158,FALSE,0.0447400241837969,SLC2A13,0.892877492877493,0.0615640599001664,0.0447400241837969
SEC24C,-3.22931664523067,-0.410411380844629,FALSE,0.0278113663845224,SEC24C,0.909073688198522,0.0457256461232604,0.0278113663845224
TUFM,-3.23060026423542,0.00524938891709992,FALSE,0.446191051995163,TUFM,0.454692884654369,0.120627656096764,0.446191051995163
PM20D2,-3.23196819405339,0.117341368625532,FALSE,0.0459492140266022,PM20D2,0.890767477203647,0.0619902120717782,0.0459492140266022
UTP11,-3.23275846673921,0.0190134271340119,FALSE,0.0665054413542926,UTP11,0.871545645130551,0.0754458161865569,0.0665054413542926
YTHDC2,-3.23395781718416,-0.4577098790345,FALSE,0.0229746070133011,YTHDC2,0.91330683323869,0.039832285115304,0.0229746070133011
TP53,-3.23681564747358,0.38703167533973,FALSE,0.0834340991535671,TP53,0.853430154786929,0.0825358851674641,0.0834340991535671
IFT52,-3.23759303307638,-0.615027831624268,FALSE,0.0120918984280532,IFT52,0.923280423280423,0.0240384615384615,0.0120918984280532
TMEM135,-3.23798529989688,-1.22909108500319,FALSE,0.0108827085852479,TMEM135,0.924428490459097,0.0220048899755501,0.0108827085852479
LBR,-3.23920386964937,0.442664164248553,FALSE,0.139056831922612,LBR,0.794871794871795,0.097540288379983,0.139056831922612
BTD,-3.23928736727186,-1.38825030191663,FALSE,0.0193470374848851,BTD,0.916761256148316,0.0350877192982456,0.0193470374848851
PPP4R1,-3.23969894458215,-1.03741284531783,FALSE,0.0169286577992745,PPP4R1,0.919251134644478,0.0317460317460317,0.0169286577992745
YDJC,-3.24149484755196,0.419528106920899,FALSE,0.110036275695284,YDJC,0.825369410861639,0.0909090909090909,0.110036275695284
DNAJC13,-3.24173867795744,-0.213364853669979,FALSE,0.0290205562273277,DNAJC13,0.907351269420235,0.0467836257309942,0.0290205562273277
CFAP97,-3.24293657976215,-0.472543940341493,FALSE,0.0350665054413543,CFAP97,0.901763701877489,0.0530164533820841,0.0350665054413543
DUSP16,-3.2432163252027,0.00797875093984324,FALSE,0.0435308343409915,DUSP16,0.894037219901253,0.0606060606060606,0.0435308343409915
CAND1,-3.24610067736142,0.542411381054618,TRUE,0.114873035066505,CAND1,0.820434031111965,0.0922330097087379,0.114873035066505
H3.3B,-3.2464749714508,-0.0745216413472206,FALSE,0.778718258766626,H3.3B,0.171103477887505,0.142952275249723,0.778718258766626
ELMOD2,-3.24766105256039,-0.867990745874061,FALSE,0.0181378476420798,ELMOD2,0.917722716096085,0.0333333333333333,0.0181378476420798
PIGH,-3.24966142303329,-1.85835205509875,FALSE,0.0120918984280532,PIGH,0.923280423280423,0.0240384615384615,0.0120918984280532
