"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
ABCE1,-3.23241802320159,-1.30643235483569,FALSE,0.0292682926829268,ABCE1,0.904893303899926,0.044362292051756,0.0292682926829268
SUDS3,-3.23784033672315,-0.601875581626014,FALSE,0.11219512195122,SUDS3,0.82693740685544,0.0901077375122429,0.11219512195122
PTGER4,-3.23913152162625,-2.17048819676039,FALSE,0.0329268292682927,PTGER4,0.90281612368857,0.0486486486486487,0.0329268292682927
TMEM97,-3.23921379029831,-2.46278689550202,FALSE,0.0109756097560976,TMEM97,0.921665749403779,0.0206422018348624,0.0109756097560976
LRRC58,-3.2407191459341,-0.960638628805319,FALSE,0.0548780487804878,LRRC58,0.880886426592798,0.0652173913043478,0.0548780487804878
U2SURP,-3.24090624833002,-0.462644078282342,FALSE,0.157317073170732,U2SURP,0.782404802100919,0.100077579519007,0.157317073170732
YPEL3,-3.24095908849543,-0.848201790312047,FALSE,0.136585365853659,YPEL3,0.807404637247569,0.0980735551663748,0.136585365853659
PTTG1,-3.24157310796621,-3.15930966139868,FALSE,0.0146341463414634,PTTG1,0.919052863436123,0.0264900662251656,0.0146341463414634
NUCB2,-3.24282302766953,-1.87429019703375,FALSE,0.024390243902439,NUCB2,0.909742647058824,0.0391389432485323,0.024390243902439
MIS18BP1,-3.24303578937736,-1.52811936036829,FALSE,0.0365853658536585,MIS18BP1,0.898526703499079,0.0516351118760757,0.0365853658536585
ZRANB2,-3.24389226243302,-0.652996387685464,FALSE,0.101219512195122,ZRANB2,0.836897898456388,0.0864583333333333,0.101219512195122
BAZ1B,-3.24653836736028,-0.685622221970214,FALSE,0.0670731707317073,BAZ1B,0.868270120259019,0.0717079530638853,0.0670731707317073
FAM83E,-3.24653836736028,-1.09201467630875,FALSE,0.154878048780488,FAM83E,0.794487155447215,0.103843008994276,0.154878048780488
GNPNAT1,-3.24810668085053,-1.98047195886713,FALSE,0.0182926829268293,GNPNAT1,0.914967860422406,0.0313807531380753,0.0182926829268293
ANXA5,-3.24963260966555,-1.00963405319088,FALSE,0.0731707317073171,ANXA5,0.864814814814815,0.0759493670886076,0.0731707317073171
CTTN,-3.25347759209285,-0.47177907680913,FALSE,0.264634146341463,CTTN,0.680907877169559,0.114814814814815,0.264634146341463
GLA,-3.25384655837018,-0.465260132574198,FALSE,0.170731707317073,GLA,0.774248120300752,0.104399701715138,0.170731707317073
VPS13A,-3.25471851751991,-0.466634639896537,FALSE,0.215853658536585,VPS13A,0.724020442930153,0.108256880733945,0.215853658536585
BIRC6,-3.25691040346585,-0.742795950547118,FALSE,0.118292682926829,BIRC6,0.821182174156256,0.0918560606060606,0.118292682926829
TMEM14A,-3.25742746835961,-0.405541538436023,FALSE,0.210975609756098,TMEM14A,0.729336107433327,0.10785536159601,0.210975609756098
SERINC5,-3.25908548460619,-0.795142874667674,FALSE,0.075609756097561,SERINC5,0.860689144127455,0.0761670761670762,0.075609756097561
ITGA2,-3.25966146068193,-0.826560087735991,FALSE,0.0548780487804878,ITGA2,0.879778393351801,0.0646551724137931,0.0548780487804878
PPP2R5C,-3.26022335026031,-0.577185033182493,FALSE,0.139024390243902,PPP2R5C,0.7996632996633,0.0962025316455696,0.139024390243902
COPS2,-3.26281818651005,-0.548179622835935,FALSE,0.0878048780487805,COPS2,0.849294729027469,0.081447963800905,0.0878048780487805
RRM1,-3.26335809413988,-1.11185738896567,FALSE,0.0414634146341463,RRM1,0.893475856984888,0.0555555555555556,0.0414634146341463
PKDCC,-3.26589713993023,-0.908073030981011,FALSE,0.051219512195122,PKDCC,0.883536360280546,0.062407132243685,0.051219512195122
NONO,-3.26665903303782,-0.396928835603543,FALSE,0.26219512195122,NONO,0.683317445185891,0.114605543710021,0.26219512195122
LYRM1,-3.26716613181689,-0.942788616613046,FALSE,0.0560975609756098,LYRM1,0.879386775027706,0.0658082975679542,0.0560975609756098
APIP,-3.27437868642671,-0.771411327051225,FALSE,0.0841463414634147,APIP,0.853459469486181,0.080325960419092,0.0841463414634147
MRPL9,-3.27619825991476,-0.480877317265851,FALSE,0.1,MRPL9,0.836184455187802,0.0851505711318795,0.1
SLC40A1,-3.27687189952001,-0.340535581404806,FALSE,0.242682926829268,SLC40A1,0.702337958563011,0.112747875354108,0.242682926829268
TK1,-3.27899573690004,-3.29196850065167,FALSE,0.00853658536585366,TK1,0.923528333027691,0.0165094339622642,0.00853658536585366
PIGZ,-3.27905529244734,-1.23353929374771,FALSE,0.0597560975609756,PIGZ,0.877656625392719,0.0689170182841069,0.0597560975609756
PRPF4B,-3.28048949465268,-0.573907260940448,FALSE,0.168292682926829,PRPF4B,0.771514468245021,0.10192023633678,0.168292682926829
NUDT21,-3.28056797287551,-0.438512169780594,FALSE,0.15609756097561,NUDT21,0.780757689422356,0.0986892829606785,0.15609756097561
CBY1,-3.28451080507273,-0.91745681568694,FALSE,0.05,CBY1,0.884295995571139,0.061377245508982,0.05
DACH1,-3.28570331354171,-3.67890770658319,FALSE,0.00609756097560976,DACH1,0.925389550870761,0.0121359223300971,0.00609756097560976
USO1,-3.28775170549302,-0.721483342531187,FALSE,0.117073170731707,USO1,0.822147651006711,0.0914285714285714,0.117073170731707
PSMB5,-3.29520793028378,-0.357728410212687,FALSE,0.25,PSMB5,0.697621313035205,0.114269788182832,0.25
DNMT1,-3.2959293274917,-1.88545598049134,FALSE,0.0158536585365854,DNMT1,0.916284193133835,0.0277185501066098,0.0158536585365854
KYAT3,-3.29605053606049,-1.12342745673648,FALSE,0.0353658536585366,KYAT3,0.898177131283373,0.0498281786941581,0.0353658536585366
NSMCE4A,-3.29798534952948,-0.617452255041521,FALSE,0.109756097560976,NSMCE4A,0.827188081936685,0.0884086444007859,0.109756097560976
DSG2,-3.30205790242965,-0.25366454369438,FALSE,0.340243902439024,DSG2,0.60316541208261,0.11948608137045,0.340243902439024
TFDP1,-3.30434806668643,-0.477558899799544,FALSE,0.0853658536585366,TFDP1,0.849907235621521,0.0796359499431172,0.0853658536585366
RRM2,-3.30439098218766,-3.66842052139827,FALSE,0.00487804878048781,RRM2,0.926136363636364,0.00982800982800983,0.00487804878048781
RIF1,-3.30534618364635,-1.35772259334771,FALSE,0.0378048780487805,RIF1,0.896113464726469,0.0521008403361345,0.0378048780487805
BTF3L4,-3.30686905179009,-0.710855099489663,FALSE,0.0597560975609756,BTF3L4,0.874514877102199,0.0673076923076923,0.0597560975609756
ERI3,-3.30826859550492,-1.10317733886298,FALSE,0.0597560975609756,ERI3,0.875808538163001,0.0679611650485437,0.0597560975609756
PARL,-3.30913816984772,-0.516860851748545,FALSE,0.134146341463415,PARL,0.802429906542056,0.0942587832047986,0.134146341463415
CNOT6L,-3.30974515941469,-0.887290986805185,FALSE,0.0731707317073171,CNOT6L,0.862222222222222,0.0746268656716418,0.0731707317073171
SPOP,-3.31262834764244,-0.644819242153307,FALSE,0.101219512195122,SPOP,0.835596057281012,0.0858324715615305,0.101219512195122
SEPTIN7,-3.31570703267826,-0.428614642608864,FALSE,0.219512195121951,SEPTIN7,0.719507575757576,0.108368452739314,0.219512195121951
CSDE1,-3.31656394621712,-0.326783047579085,FALSE,0.442682926829268,CSDE1,0.518932705513047,0.128952042628774,0.442682926829268
NFIB,-3.32061471980356,-0.322767176039924,FALSE,0.234146341463415,NFIB,0.701594533029613,0.108843537414966,0.234146341463415
CEP20,-3.32066636048741,-1.33017450678482,FALSE,0.0292682926829268,CEP20,0.903053715967623,0.043557168784029,0.0292682926829268
SUPT16H,-3.32192975543475,-0.798695054304791,FALSE,0.0536585365853659,SUPT16H,0.880169867060561,0.0634920634920635,0.0536585365853659
TMEM106B,-3.32743839742652,-0.431986879975008,FALSE,0.135365853658537,TMEM106B,0.800149560665545,0.0940677966101695,0.135365853658537
COQ2,-3.32906059062898,-1.42280974993069,FALSE,0.0280487804878049,COQ2,0.904175096560603,0.0422794117647059,0.0280487804878049
ZNHIT3,-3.32948899331738,-0.306152252411003,FALSE,0.130487804878049,ZNHIT3,0.804221931627125,0.0926406926406926,0.130487804878049
SPATS2,-3.33097357437804,-1.15489785274006,FALSE,0.0365853658536585,SPATS2,0.896316758747698,0.0505902192242833,0.0365853658536585
KIF22,-3.33758008073538,-1.48867039704188,FALSE,0.025609756097561,KIF22,0.906416620702335,0.039622641509434,0.025609756097561
NECTIN3,-3.33816169668335,-0.396667029955938,FALSE,0.0975609756097561,NECTIN3,0.835873605947955,0.083073727933541,0.0975609756097561
MIA3,-3.34061554199715,-1.28357328501371,FALSE,0.113414634146341,MIA3,0.829886342463201,0.0924453280318092,0.113414634146341
PLBD1,-3.34631807907735,-0.328459839060004,FALSE,0.142682926829268,PLBD1,0.792251544076362,0.0953545232273839,0.142682926829268
LARS1,-3.34703685598755,-0.561569330780952,FALSE,0.0939024390243902,LARS1,0.841166635704997,0.082618025751073,0.0939024390243902
HDLBP,-3.35024434703788,-0.420799700861889,FALSE,0.320731707317073,HDLBP,0.623821435443525,0.118575293056808,0.320731707317073
ZFTRAF1,-3.35037067970338,-0.639229979522846,FALSE,0.124390243902439,ZFTRAF1,0.81317655841732,0.0924750679963735,0.124390243902439
